2585660 "Atlantis Heroes ""Rise of the Lost Land""", $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2650450 Blood of the Elves, $14.99 | Metacritic: 0 | Released: 5/26/2024 0:00 | 0 achievements | Reviews: 10 (8 +, 2 -), Score: 7
2613950 Bloody Knuckles Street Boxing, $14.99 | Metacritic: 0 | Released: 6/2/2024 0:00 | 54 achievements | Reviews: 68 (42 +, 26 -), Score: 5
2563760 BMX Bastards, $14.99 | Metacritic: 0 | Released: 11/7/2024 0:00 | 0 achievements | Reviews: 24 (23 +, 1 -), Score: 7
1057600 Booze Masters: Freezing Moonshine, $14.99 | Metacritic: 0 | Released: 12/13/2023 0:00 | 35 achievements | Reviews: 17 (13 +, 4 -), Score: 6
2511050 Brazen Blaze, $14.99 | Metacritic: 0 | Released: 7/18/2024 0:00 | 0 achievements | Reviews: 35 (28 +, 7 -), Score: 7
2554800 Cactus Cowboy - Desert Warfare, $14.99 | Metacritic: 0 | Released: 11/2/2023 0:00 | 26 achievements | Reviews: 15 (15 +, 0 -), Score: 7
2696420 Chronocide, $14.99 | Metacritic: 0 | Released: 7/12/2024 0:00 | 75 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2556930 Chrysolite, $14.99 | Metacritic: 0 | Released: 7/24/2024 0:00 | 15 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2615130 Cozy Room Decorator, $14.99 | Metacritic: 0 | Released: 3/22/2024 0:00 | 25 achievements | Reviews: 17 (16 +, 1 -), Score: 7
2580390 Crossing Frontier: Fate Foretold, $14.99 | Metacritic: 0 | Released: 12/13/2023 0:00 | 0 achievements | Reviews: 4 (1 +, 3 -), Score: 0
2504540 CUBE ROYALE, $14.99 | Metacritic: 0 | Released: 12/4/2023 0:00 | 27 achievements | Reviews: 44 (43 +, 1 -), Score: 7
1045390 D20 Dungeons, $14.99 | Metacritic: 0 | Released: 11/11/2019 0:00 | 0 achievements | Reviews: 8 (8 +, 0 -), Score: 0
1063120 Damaged In Transit, $14.99 | Metacritic: 0 | Released: 3/23/2020 0:00 | 11 achievements | Reviews: 11 (11 +, 0 -), Score: 7
2564340 Dark Age, $14.99 | Metacritic: 0 | Released: 4/4/2024 0:00 | 10 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2664880 Dawn of Anarchy, $14.99 | Metacritic: 0 | Released: 10/1/2024 0:00 | 0 achievements | Reviews: 51 (49 +, 2 -), Score: 8
2526520 Deck of Darkness: Infernal Depths, $14.99 | Metacritic: 0 | Released: 10/22/2024 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2685490 Detective Hayseed - The Cloning Madness, $14.99 | Metacritic: 0 | Released: 12/12/2023 0:00 | 14 achievements | Reviews: 16 (14 +, 2 -), Score: 7
2697430 Dexterous: Time to Steal, $14.99 | Metacritic: 0 | Released: 10/22/2024 0:00 | 0 achievements | Reviews: 6 (6 +, 0 -), Score: 0
1067730 Digital Rose, $14.99 | Metacritic: 0 | Released: 10/4/2019 0:00 | 6 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2559050 DIMENSIONS, $14.99 | Metacritic: 0 | Released: 8/13/2024 0:00 | 11 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2619200 Doctor Arcana and The Secret of Shadowspire, $14.99 | Metacritic: 0 | Released: 10/26/2024 0:00 | 0 achievements | Reviews: 6 (6 +, 0 -), Score: 0
2512010 DOG® – The dog takes the hindmost, $14.99 | Metacritic: 0 | Released: 3/26/2024 0:00 | 7 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2538000 Dojo Masters, $14.99 | Metacritic: 0 | Released: 7/17/2024 0:00 | 38 achievements | Reviews: 80 (77 +, 3 -), Score: 8
2505740 Dominating eyes, $14.99 | Metacritic: 0 | Released: 8/24/2023 0:00 | 0 achievements | Reviews: 5 (2 +, 3 -), Score: 0
2674870 DON'T SHOOT US, $14.99 | Metacritic: 0 | Released: 12/16/2023 0:00 | 0 achievements | Reviews: 4 (1 +, 3 -), Score: 0
2573030 DOUGH: A Crime Strategy RPG, $14.99 | Metacritic: 0 | Released: 7/26/2024 0:00 | 20 achievements | Reviews: 15 (11 +, 4 -), Score: 6
2611940 Driveland, $14.99 | Metacritic: 0 | Released: 12/11/2024 0:00 | 5 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1054710 Driven Out, $14.99 | Metacritic: 0 | Released: 10/18/2019 0:00 | 21 achievements | Reviews: 49 (42 +, 7 -), Score: 7
2523640 Echoes of Karma, $14.99 | Metacritic: 0 | Released: 8/7/2023 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
1045280 eCrossminton, $14.99 | Metacritic: 0 | Released: 7/10/2019 0:00 | 25 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2579430 Ego's Spark, $14.99 | Metacritic: 0 | Released: 2/19/2024 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
1032830 Eldervale, $14.99 | Metacritic: 0 | Released: 10/20/2019 0:00 | 36 achievements | Reviews: 68 (59 +, 9 -), Score: 8
2657730 ELDORANTE, $14.99 | Metacritic: 0 | Released: 9/13/2024 0:00 | 0 achievements | Reviews: 6 (2 +, 4 -), Score: 0
2649500 EMPYRE: Earls of the Deep Earth, $14.99 | Metacritic: 0 | Released: 3/12/2024 0:00 | 30 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2669520 Expansion VR, $14.99 | Metacritic: 0 | Released: 3/21/2024 0:00 | 66 achievements | Reviews: 9 (8 +, 1 -), Score: 0
2553790 Final Exerion, $14.99 | Metacritic: 0 | Released: 11/22/2023 0:00 | 22 achievements | Reviews: 3 (2 +, 1 -), Score: 0
2660300 FingFing, $14.99 | Metacritic: 0 | Released: 7/26/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2588590 Fleshlight Squad - Fleshlightize -, $14.99 | Metacritic: 0 | Released: 1/12/2024 0:00 | 13 achievements | Reviews: 46 (37 +, 9 -), Score: 7
1043390 FlowScape, $14.99 | Metacritic: 0 | Released: 8/15/2019 0:00 | 0 achievements | Reviews: 646 (536 +, 110 -), Score: 8
2617090 Fowl Damage, $14.99 | Metacritic: 0 | Released: 9/13/2024 0:00 | 18 achievements | Reviews: 67 (65 +, 2 -), Score: 8
2515290 Frontball Planet, $14.99 | Metacritic: 0 | Released: 11/9/2023 0:00 | 19 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2624320 Futa Tales, $14.99 | Metacritic: 0 | Released: 11/24/2023 0:00 | 0 achievements | Reviews: 16 (13 +, 3 -), Score: 7
2616810 Fwog, $14.99 | Metacritic: 0 | Released: 8/23/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1044760 Garden Of Mooj, $14.99 | Metacritic: 0 | Released: 10/6/2021 0:00 | 25 achievements | Reviews: 17 (12 +, 5 -), Score: 6
2669500 Garden Trills, $14.99 | Metacritic: 0 | Released: 12/12/2024 0:00 | 34 achievements | Reviews: 25 (25 +, 0 -), Score: 7
2633650 Genie Gym, $14.99 | Metacritic: 0 | Released: 11/1/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2624230 Genso Chronicles, $14.99 | Metacritic: 0 | Released: 2/15/2024 0:00 | 34 achievements | Reviews: 2 (2 +, 0 -), Score: 0
1055030 Ghoul Britannia: Land of Hope and Gorey, $14.99 | Metacritic: 0 | Released: 10/9/2019 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1044800 Global Fortune, $14.99 | Metacritic: 0 | Released: 1/21/2020 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
1039960 Grisaia Phantom Trigger Vol.5.5, $14.99 | Metacritic: 0 | Released: 4/25/2019 0:00 | 15 achievements | Reviews: 14 (13 +, 1 -), Score: 7
2582480 Ground Wars KDR Alpha, $14.99 | Metacritic: 0 | Released: 10/19/2023 0:00 | 21 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2514460 GUARDS!, $14.99 | Metacritic: 0 | Released: 3/1/2024 0:00 | 34 achievements | Reviews: 277 (195 +, 82 -), Score: 6
2585040 GUNVOLT RECORDS Cychronicle, $14.99 | Metacritic: 0 | Released: 2/15/2024 0:00 | 10 achievements | Reviews: 27 (19 +, 8 -), Score: 6
2699690 Harmonia Full HD Edition, $14.99 | Metacritic: 0 | Released: 4/24/2024 0:00 | 13 achievements | Reviews: 5 (5 +, 0 -), Score: 0
2532930 Heroes of Egypt - The Curse of Sethos - Collector's Edition, $14.99 | Metacritic: 0 | Released: 8/15/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2647510 HexaScape: Cyber Defense, $14.99 | Metacritic: 0 | Released: 6/20/2024 0:00 | 21 achievements | Reviews: 11 (11 +, 0 -), Score: 7
2589880 Home Design 3D VR, $14.99 | Metacritic: 0 | Released: 12/4/2023 0:00 | 0 achievements | Reviews: 4 (2 +, 2 -), Score: 0
2566200 Humanoid, $14.99 | Metacritic: 0 | Released: 7/28/2024 0:00 | 24 achievements | Reviews: 7 (0 +, 7 -), Score: 0
2520000 HYNPYTOL, $14.99 | Metacritic: 0 | Released: 9/22/2023 0:00 | 23 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2561260 Hyperdrive Inn, $14.99 | Metacritic: 0 | Released: 10/30/2024 0:00 | 61 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2643930 Imaginary Friend Asylum, $14.99 | Metacritic: 0 | Released: 5/19/2024 0:00 | 0 achievements | Reviews: 33 (33 +, 0 -), Score: 7
2639100 Inari, $14.99 | Metacritic: 0 | Released: 9/9/2024 0:00 | 32 achievements | Reviews: 201 (186 +, 15 -), Score: 8
2601730 InfestStation, $14.99 | Metacritic: 0 | Released: 7/22/2024 0:00 | 0 achievements | Reviews: 19 (11 +, 8 -), Score: 5
1055020 InfinityVR, $14.99 | Metacritic: 0 | Released: 4/30/2019 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2706390 Intergalactic Ecstasy, $14.99 | Metacritic: 0 | Released: 1/26/2024 0:00 | 27 achievements | Reviews: 28 (25 +, 3 -), Score: 7
2600600 Internet Cafe Evolution, $14.99 | Metacritic: 0 | Released: 4/19/2024 0:00 | 5 achievements | Reviews: 13 (10 +, 3 -), Score: 6
1051420 Jey's Empire, $14.99 | Metacritic: 0 | Released: 10/15/2019 0:00 | 18 achievements | Reviews: 26 (23 +, 3 -), Score: 7
2595930 Jigsaw Advent Calendar, $14.99 | Metacritic: 0 | Released: 11/29/2023 0:00 | 12 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2620210 Jinshin, $14.99 | Metacritic: 0 | Released: 12/21/2023 0:00 | 30 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2668840 Kagura Genesis: Kuon's Story, $14.99 | Metacritic: 0 | Released: 1/25/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1067850 Kindergarten 2, $14.99 | Metacritic: 0 | Released: 7/29/2019 0:00 | 24 achievements | Reviews: 3616 (3543 +, 73 -), Score: 9
1048660 Knight Squad 2, $14.99 | Metacritic: 0 | Released: 4/14/2021 0:00 | 17 achievements | Reviews: 113 (107 +, 6 -), Score: 8
2670370 Knights of Grayfang, $14.99 | Metacritic: 0 | Released: 1/18/2024 0:00 | 31 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1048960 Leaf, $14.99 | Metacritic: 0 | Released: 4/11/2019 0:00 | 0 achievements | Reviews: 5 (4 +, 1 -), Score: 0
1040740 Legend of the Tetrarchs, $14.99 | Metacritic: 0 | Released: 7/25/2019 0:00 | 26 achievements | Reviews: 6 (5 +, 1 -), Score: 0
2659960 Let's Go! My Harem Farm, $14.99 | Metacritic: 0 | Released: 6/21/2024 0:00 | 0 achievements | Reviews: 31 (23 +, 8 -), Score: 6
1033080 Letters - a written adventure, $14.99 | Metacritic: 0 | Released: 2/9/2022 0:00 | 24 achievements | Reviews: 111 (97 +, 14 -), Score: 8
2632930 Life Eater, $14.99 | Metacritic: 0 | Released: 4/16/2024 0:00 | 11 achievements | Reviews: 211 (185 +, 26 -), Score: 8
2615330 LightBear, $14.99 | Metacritic: 0 | Released: 10/10/2023 0:00 | 79 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2552410 Liminal Border Part I, $14.99 | Metacritic: 0 | Released: 11/13/2023 0:00 | 0 achievements | Reviews: 14 (14 +, 0 -), Score: 7
2538370 Long Story Short, $14.99 | Metacritic: 0 | Released: 10/24/2024 0:00 | 98 achievements | Reviews: 97 (88 +, 9 -), Score: 8
2548200 Love & Country, $14.99 | Metacritic: 0 | Released: 6/20/2024 0:00 | 17 achievements | Reviews: 19 (19 +, 0 -), Score: 7
1063050 Lumina, $14.99 | Metacritic: 0 | Released: 10/9/2019 0:00 | 2 achievements | Reviews: 14 (9 +, 5 -), Score: 5
1053270 Makeover Desire - HENSHIN GANBO, $14.99 | Metacritic: 0 | Released: 11/15/2019 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2596330 Micro Machines: Mini Challenge Mayhem, $14.99 | Metacritic: 0 | Released: 1/4/2024 0:00 | 26 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2522550 Mini Garden Cafe, $14.99 | Metacritic: 0 | Released: 8/31/2023 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2542460 Monstronomy, $14.99 | Metacritic: 0 | Released: 4/18/2024 0:00 | 17 achievements | Reviews: 16 (15 +, 1 -), Score: 7
1067700 Muspell, $14.99 | Metacritic: 0 | Released: 4/20/2020 0:00 | 7 achievements | Reviews: 1 (0 +, 1 -), Score: 0
1036700 My Beautiful Paper Smile, $14.99 | Metacritic: 0 | Released: 10/14/2021 0:00 | 26 achievements | Reviews: 165 (141 +, 24 -), Score: 8
2637870 My Life: Farm Vet, $14.99 | Metacritic: 0 | Released: 3/27/2024 0:00 | 48 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2699610 My oshi vtuber jumped through the screen and now we're living together: Chill and vibey beast girl game streamer, $14.99 | Metacritic: 0 | Released: 12/28/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2699600 My oshi vtuber jumped through the screen and now we're living together: I want to make a contract with the lady vampire, $14.99 | Metacritic: 0 | Released: 12/28/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2699620 My oshi vtuber jumped through the screen and now we're living together: Slightly psycho succubus ASMR streamer, $14.99 | Metacritic: 0 | Released: 12/28/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2645700 Mystery at Grand Fir Village, $14.99 | Metacritic: 0 | Released: 11/15/2023 0:00 | 71 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2661890 Of Murder and Moonshine, $14.99 | Metacritic: 0 | Released: 3/1/2024 0:00 | 0 achievements | Reviews: 4 (2 +, 2 -), Score: 0
2529120 Old School, $14.99 | Metacritic: 0 | Released: 10/6/2023 0:00 | 0 achievements | Reviews: 343 (292 +, 51 -), Score: 8
2636200 Petey Pedro unBEETable Adventure, $14.99 | Metacritic: 0 | Released: 12/7/2023 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
1054550 Phantom Rose, $14.99 | Metacritic: 0 | Released: 8/7/2019 0:00 | 0 achievements | Reviews: 195 (166 +, 29 -), Score: 8
1058410 Physics: Optics Table, $14.99 | Metacritic: 0 | Released: 10/23/2020 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2601940 Pinball Spire, $14.99 | Metacritic: 0 | Released: 10/2/2024 0:00 | 10 achievements | Reviews: 167 (145 +, 22 -), Score: 8
2529930 Pleasure Party 2, $14.99 | Metacritic: 0 | Released: 8/24/2023 0:00 | 0 achievements | Reviews: 30 (15 +, 15 -), Score: 5
2549550 Porusz Umysł PLUS, $14.99 | Metacritic: 0 | Released: 10/17/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2557770 Precision Point VR, $14.99 | Metacritic: 0 | Released: 1/25/2024 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2646300 Princess Knight's Mission ~ Anna's Marvelous Adventures ~, $14.99 | Metacritic: 0 | Released: 5/9/2024 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
2644110 Pumpkin Ghost, $14.99 | Metacritic: 0 | Released: 10/27/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1047620 Rasen no Sora, $14.99 | Metacritic: 0 | Released: 4/8/2019 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2676750 Rave Gazebo, $14.99 | Metacritic: 0 | Released: 12/11/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2703060 Rebellion Against Rebellion, $14.99 | Metacritic: 0 | Released: 6/19/2024 0:00 | 66 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2627390 Reef Escape, $14.99 | Metacritic: 0 | Released: 12/14/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2576580 Robospital, $14.99 | Metacritic: 0 | Released: 9/19/2023 0:00 | 13 achievements | Reviews: 13 (10 +, 3 -), Score: 6
2528120 Ruled by Rule, $14.99 | Metacritic: 0 | Released: 8/15/2023 0:00 | 10 achievements | Reviews: 33 (24 +, 9 -), Score: 6
1049560 Run For Cover, $14.99 | Metacritic: 0 | Released: 4/9/2021 0:00 | 0 achievements | Reviews: 6 (6 +, 0 -), Score: 0
1050160 Sacrifice Your Friends, $14.99 | Metacritic: 0 | Released: 10/25/2022 0:00 | 21 achievements | Reviews: 7 (5 +, 2 -), Score: 0
2579580 SAKAZAMURANO INMATSURI KEGASARETA MIKOSHIMAI, $14.99 | Metacritic: 0 | Released: 10/19/2023 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
2538710 Samira´s House, $14.99 | Metacritic: 0 | Released: 10/13/2023 0:00 | 30 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2643420 Savage Girls, $14.99 | Metacritic: 0 | Released: 11/2/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2626240 Saving Mrs. Hinako, $14.99 | Metacritic: 0 | Released: 3/11/2024 0:00 | 0 achievements | Reviews: 13 (11 +, 2 -), Score: 7
2558060 Secrets of the Haunted Mansion, $14.99 | Metacritic: 0 | Released: 9/10/2023 0:00 | 0 achievements | Reviews: 3 (0 +, 3 -), Score: 0
1052040 Selatria, $14.99 | Metacritic: 0 | Released: 8/21/2024 0:00 | 65 achievements | Reviews: 5 (4 +, 1 -), Score: 0
2554930 Shadows Are Alive, $14.99 | Metacritic: 0 | Released: 10/28/2024 0:00 | 25 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2673750 ShadowStorm, $14.99 | Metacritic: 0 | Released: 12/1/2023 0:00 | 14 achievements | Reviews: 5 (4 +, 1 -), Score: 0
2622280 Shell Runner, $14.99 | Metacritic: 0 | Released: 7/15/2024 0:00 | 33 achievements | Reviews: 44 (26 +, 18 -), Score: 5
2712480 Shikhondo: Youkai Rampage, $14.99 | Metacritic: 0 | Released: 4/17/2024 0:00 | 20 achievements | Reviews: 9 (8 +, 1 -), Score: 0
1051580 Skjoldur Story, $14.99 | Metacritic: 0 | Released: 4/30/2021 0:00 | 30 achievements | Reviews: 9 (8 +, 1 -), Score: 0
2655620 Slasher U: An 18+ Horror Movie Dating Sim Act 1, $14.99 | Metacritic: 0 | Released: 11/20/2023 0:00 | 0 achievements | Reviews: 24 (24 +, 0 -), Score: 7
2685630 Sling Puzzle: Golf Master, $14.99 | Metacritic: 0 | Released: 2/22/2024 0:00 | 24 achievements | Reviews: 10 (10 +, 0 -), Score: 7
2553930 Soul Drifter, $14.99 | Metacritic: 0 | Released: 10/10/2024 0:00 | 0 achievements | Reviews: 10 (10 +, 0 -), Score: 7
1045110 Space Ops VR: Reloaded, $14.99 | Metacritic: 0 | Released: 5/30/2019 0:00 | 33 achievements | Reviews: 17 (8 +, 9 -), Score: 5
2618710 Spaceport Trading Company, $14.99 | Metacritic: 0 | Released: 11/7/2023 0:00 | 25 achievements | Reviews: 26 (23 +, 3 -), Score: 7
1062000 Starmancer, $14.99 | Metacritic: 0 | Released: 8/5/2021 0:00 | 0 achievements | Reviews: 567 (376 +, 191 -), Score: 5
2649970 Steps of Debauchery, $14.99 | Metacritic: 0 | Released: 2/5/2024 0:00 | 34 achievements | Reviews: 390 (351 +, 39 -), Score: 8
2549000 SummerAfterTenYears: Steam Edition, $14.99 | Metacritic: 0 | Released: 8/31/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2573950 Sun Breed, $14.99 | Metacritic: 0 | Released: 4/16/2024 0:00 | 0 achievements | Reviews: 41 (33 +, 8 -), Score: 7
2670800 Sunrise GP, $14.99 | Metacritic: 0 | Released: 8/27/2024 0:00 | 20 achievements | Reviews: 9 (9 +, 0 -), Score: 0
1050510 Super Tennis Blast, $14.99 | Metacritic: 0 | Released: 5/24/2019 0:00 | 32 achievements | Reviews: 38 (32 +, 6 -), Score: 7
2504380 Survival Nation: Lost Horizon, $14.99 | Metacritic: 0 | Released: 4/15/2024 0:00 | 65 achievements | Reviews: 35 (26 +, 9 -), Score: 6
2562430 Sweetcore Brews - an otome game inspired by witchy sitcoms, $14.99 | Metacritic: 0 | Released: 10/17/2023 0:00 | 13 achievements | Reviews: 12 (6 +, 6 -), Score: 5
1061610 Tenderfoot Tactics, $14.99 | Metacritic: 0 | Released: 10/21/2020 0:00 | 12 achievements | Reviews: 183 (150 +, 33 -), Score: 8
2553870 The Genesis Order, $14.99 | Metacritic: 0 | Released: 4/2/2024 0:00 | 23 achievements | Reviews: 758 (663 +, 95 -), Score: 8
2695040 The girl I like lost her virginity in the sex club NTR with me!?, $14.99 | Metacritic: 0 | Released: 1/4/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1055310 The Myth Seekers 2: The Sunken City, $14.99 | Metacritic: 0 | Released: 6/13/2019 0:00 | 28 achievements | Reviews: 41 (31 +, 10 -), Score: 6
2718210 The Skirmish, $14.99 | Metacritic: 0 | Released: 1/5/2024 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
1060810 The Sphere of Abyss, $14.99 | Metacritic: 0 | Released: 11/25/2019 0:00 | 28 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2563050 Time to Escape, $14.99 | Metacritic: 0 | Released: 10/30/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2667160 Timeworks, $14.99 | Metacritic: 0 | Released: 3/30/2024 0:00 | 12 achievements | Reviews: 51 (50 +, 1 -), Score: 8
1043240 Touhou Kishinjou ~ Double Dealing Character., $14.99 | Metacritic: 0 | Released: 6/18/2019 0:00 | 0 achievements | Reviews: 120 (116 +, 4 -), Score: 8
1043230 Touhou Shinreibyou ~ Ten Desires., $14.99 | Metacritic: 0 | Released: 6/18/2019 0:00 | 0 achievements | Reviews: 143 (136 +, 7 -), Score: 8
2622970 Tube Be Continued, $14.99 | Metacritic: 0 | Released: 11/1/2023 0:00 | 26 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2569610 Turbo Chicken Simulator, $14.99 | Metacritic: 0 | Released: 12/15/2023 0:00 | 0 achievements | Reviews: 28 (26 +, 2 -), Score: 7
2695030 TutoringNTR!? Having sex with the neighbor's total affirmation sister…!, $14.99 | Metacritic: 0 | Released: 1/4/2024 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2511820 Unfeigned Depths, $14.99 | Metacritic: 0 | Released: 10/25/2024 0:00 | 15 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2635350 United Penguin Kingdom, $14.99 | Metacritic: 0 | Released: 3/9/2024 0:00 | 63 achievements | Reviews: 89 (61 +, 28 -), Score: 5
2559760 Untold Tales of Citadale: The Shadow Maker, $14.99 | Metacritic: 0 | Released: 10/21/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2505180 Ursine Science, $14.99 | Metacritic: 0 | Released: 9/22/2023 0:00 | 12 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2511780 Vestiges: Fallen Tribes, $14.99 | Metacritic: 0 | Released: 10/3/2024 0:00 | 10 achievements | Reviews: 11 (10 +, 1 -), Score: 7
2622140 Virtual Handheld, $14.99 | Metacritic: 0 | Released: 11/4/2023 0:00 | 0 achievements | Reviews: 15 (15 +, 0 -), Score: 7
1051950 Voyage, $14.99 | Metacritic: 0 | Released: 2/18/2021 0:00 | 14 achievements | Reviews: 58 (49 +, 9 -), Score: 8
2648980 Warmage, $14.99 | Metacritic: 0 | Released: 10/26/2024 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
1055490 Weed Farmer Simulator, $14.99 | Metacritic: 0 | Released: 3/16/2020 0:00 | 6 achievements | Reviews: 102 (66 +, 36 -), Score: 5
2553410 Welcome To Everdell, $14.99 | Metacritic: 0 | Released: 6/25/2024 0:00 | 16 achievements | Reviews: 5 (5 +, 0 -), Score: 0
1056520 Who We Are Now, $14.99 | Metacritic: 0 | Released: 5/7/2019 0:00 | 0 achievements | Reviews: 9 (7 +, 2 -), Score: 0
2569170 Widow in the Endless Labyrinth, $14.99 | Metacritic: 0 | Released: 11/1/2023 0:00 | 64 achievements | Reviews: 22 (19 +, 3 -), Score: 7
2673590 Winter Games Challenge, $14.99 | Metacritic: 0 | Released: 3/12/2024 0:00 | 21 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2599000 Witch Academy, $14.99 | Metacritic: 0 | Released: 11/13/2023 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2683680 Witch Academy Another Battle, $14.99 | Metacritic: 0 | Released: 11/30/2023 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2576250 WyrmBound, $14.99 | Metacritic: 0 | Released: 3/20/2024 0:00 | 6 achievements | Reviews: 13 (10 +, 3 -), Score: 6
2690180 XiJiang Shipyard, $14.99 | Metacritic: 0 | Released: 1/1/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2630350 Yatagarasu Enter the Eastward, $14.99 | Metacritic: 0 | Released: 2/19/2024 0:00 | 0 achievements | Reviews: 14 (6 +, 8 -), Score: 5
2512040 Yatzi, $14.99 | Metacritic: 0 | Released: 3/26/2024 0:00 | 9 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1037080 Zedfest, $14.99 | Metacritic: 0 | Released: 4/7/2023 0:00 | 45 achievements | Reviews: 152 (135 +, 17 -), Score: 8
2699520 ソニアの大冒険 -3つの秘宝の隠されたナゾ！-, $14.99 | Metacritic: 0 | Released: 1/8/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2642600 唐朝建筑, $14.99 | Metacritic: 0 | Released: 11/18/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1049100 泡沫冬景, $14.99 | Metacritic: 0 | Released: 1/2/2020 0:00 | 1 achievements | Reviews: 62 (58 +, 4 -), Score: 8
1035560 Struggling, $14.99 | Metacritic: 65 | Released: 8/27/2020 0:00 | 35 achievements | Reviews: 201 (188 +, 13 -), Score: 8
1061880 Conan Chop Chop, $14.99 | Metacritic: 72 | Released: 3/1/2022 0:00 | 45 achievements | Reviews: 162 (113 +, 49 -), Score: 5
1064310 A Place for the Unwilling, $14.99 | Metacritic: 73 | Released: 7/25/2019 0:00 | 32 achievements | Reviews: 42 (27 +, 15 -), Score: 5
